style_id,retail_price,upc_num,collection,case,gender,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022
BQ3472,165.0,796483436046,NEUTRA CHRONO,36MM,MEN,No status reported,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1093,249.0,796483482050,CARLIE,38MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,50.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CE1094,249.0,796483482067,CARLIE,38MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1102,249.0,796483482074,STELLA,38MM,LADIES,2020H1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1104,219.0,796483497078,CARLIE,30MM,LADIES,2020H2,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1105,219.0,796483497085,CARLIE MINI,30MM,LADIES,2020H2,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1107,219.0,796483527706,FB-01,35MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,6.0,5.0,7.0,4.0,29.0,12.0,7.25
CE1108,219.0,796483528413,FB-01,35MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,2.0,3.0,3.0,10.0,17.0,2.5
CE1110,219.0,796483547285,GABBY,34MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0,3.0,1.0,21.0,3.0,5.25
CE1112,219.0,796483548251,STELLA,38MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0,1.0,3.0,19.0,8.0,4.75
CE1113,219.0,796483548268,STELLA,38MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,4.0,3.0,23.0,14.0,5.75
CE1114,219.0,796483557451,GABBY,34MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,12.0,0.0,3.0
CE5022,169.0,796483513273,FB,42MM,MENS,2020H4,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE5023,169.0,796483513266,FB,42MM,MENS,2020H4,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5
CH2564,139.0,691464293086,COACHMAN,44MM,MEN,No status reported,71.0,181.0,260.0,381.0,170.0,0.0,42.0,16.0,8.0,27.0,11.0,9.0,62.0,48.0,15.5
CH2565,139.0,691464293093,COACHMAN,44MM,MEN,No status reported,69.0,208.0,272.0,282.0,86.0,86.0,149.0,18.0,7.0,25.0,11.0,9.0,61.0,22.0,15.25
CH2573IE,119.0,796483340138,DECKER,44MM,MEN,No status reported,0.0,0.0,13.0,205.0,185.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH2600IE,139.0,796483261273,DECKER,43MM,MEN,No status reported,0.0,11.0,118.0,110.0,89.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH2601IE,149.0,796483261259,DECKER,44MM,MEN,No status reported,0.0,0.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH2891,139.0,796483033177,COACHMAN,44MM,MEN,No status reported,60.0,100.0,141.0,220.0,100.0,20.0,46.0,11.0,7.0,26.0,11.0,11.0,55.0,2.0,13.75
ES2362,109.0,691464420147,JESSE,34MM,LADIES,No status reported,41.0,95.0,133.0,197.0,157.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES2811,139.0,691464629922,RILEY,38MM,LADIES,No status reported,48.0,119.0,234.0,221.0,263.0,93.0,225.0,31.0,14.0,20.0,44.0,4.0,109.0,38.0,27.25
ES2830,109.0,691464707514,GEORGIA,32MM,LADIES,No status reported,19.0,52.0,37.0,114.0,101.0,20.0,20.0,3.0,6.0,3.0,0.0,0.0,12.0,23.0,3.0
ES3020,129.0,691464805432,JESSE,34MM,LADIES,No status reported,37.0,80.0,98.0,136.0,138.0,16.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3060,109.0,691464874100,GEORGIA,32MM,LADIES,No status reported,20.0,53.0,73.0,120.0,114.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3077,129.0,691464874131,GEORGIA,32MM,LADIES,No status reported,32.0,69.0,132.0,208.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3202,119.0,691464949020,RILEY,38MM,LADIES,No status reported,71.0,126.0,443.0,693.0,601.0,197.0,197.0,27.0,1.0,22.0,32.0,4.0,82.0,52.0,20.5
ES3203,139.0,691464949037,RILEY,38MM,LADIES,No status reported,94.0,197.0,363.0,353.0,368.0,103.0,260.0,29.0,15.0,36.0,36.0,11.0,116.0,74.0,29.0
ES3204,129.0,691464949044,RILEY,38MM,LADIES,No status reported,70.0,204.0,276.0,415.0,305.0,168.0,166.0,24.0,11.0,39.0,37.0,9.0,111.0,20.0,27.75
ES3226,149.0,691464975487,GEORGIA,32MM,LADIES,No status reported,29.0,61.0,45.0,119.0,56.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3282,109.0,796483008052,VIRGINIA,30MM,LADIES,No status reported,44.0,121.0,119.0,322.0,169.0,74.0,59.0,1.0,30.0,5.0,5.0,2.0,41.0,38.0,10.25
ES3283,125.0,796483008069,VIRGINIA,30MM,LADIES,No status reported,60.0,131.0,84.0,3.0,50.0,98.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3284,129.0,796483008076,VIRGINIA,30MM,LADIES,No status reported,37.0,98.0,139.0,219.0,197.0,66.0,49.0,14.0,9.0,12.0,13.0,2.0,48.0,16.0,12.0
ES3405,129.0,796483050761,VIRGINIA,30MM,LADIES,No status reported,37.0,68.0,75.0,72.0,1.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3433,119.0,796483045651,JACQUELINE,36MM,LADIES,No status reported,71.0,111.0,323.0,710.0,449.0,169.0,91.0,11.0,17.0,4.0,13.0,2.0,45.0,26.0,11.25
ES3434,139.0,796483045668,JACQUELINE,36MM,LADIES,No status reported,80.0,141.0,209.0,283.0,350.0,117.0,96.0,0.0,1.0,17.0,15.0,4.0,33.0,19.0,8.25
ES3435,139.0,796483045675,JACQUELINE,36MM,LADIES,No status reported,46.0,83.0,126.0,163.0,184.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3466,149.0,796483064980,RILEY,38MM,LADIES,No status reported,28.0,61.0,21.0,102.0,49.0,27.0,24.0,5.0,1.0,27.0,2.0,2.0,35.0,19.0,8.75
ES3487,115.0,796483066458,JACQUELINE,36MM,LADIES,No status reported,21.0,23.0,89.0,112.0,48.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3545,139.0,796483081666,JACQUELINE,36MM,LADIES,No status reported,59.0,84.0,151.0,345.0,160.0,78.0,63.0,5.0,0.0,5.0,3.0,2.0,13.0,20.0,3.25
ES3546,159.0,796483081680,JACQUELINE,36MM,LADIES,No status reported,46.0,79.0,88.0,192.0,117.0,42.0,87.0,0.0,5.0,7.0,4.0,1.0,16.0,22.0,4.0
ES3590,139.0,796483105836,STELLA,38MM,LADIES,No status reported,61.0,106.0,167.0,148.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3625,129.0,796483105737,ORIGINAL BOYFRIEND,38MM,LADIES,No status reported,9.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3707,115.0,796483137349,JACQUELINE,36MM,LADIES,No status reported,4.0,29.0,73.0,105.0,63.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3708,99.0,796483138216,JACQUELINE,36MM,LADIES,No status reported,10.0,27.0,72.0,64.0,52.0,25.0,40.0,3.0,3.0,4.0,0.0,1.0,10.0,34.0,2.5
ES3712,129.0,796483150249,TAILOR,35MM,LADIES,No status reported,61.0,108.0,76.0,764.0,702.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3713,149.0,796483150454,TAILOR,35MM,LADIES,No status reported,55.0,96.0,124.0,299.0,280.0,94.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3716,149.0,796483150430,VIRGINIA,30MM,LADIES,No status reported,40.0,86.0,93.0,136.0,123.0,56.0,66.0,12.0,2.0,11.0,2.0,5.0,27.0,30.0,6.75
ES3793,99.0,796483168244,JACQUELINE,36MM,LADIES,No status reported,0.0,20.0,40.0,78.0,107.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3797,119.0,796483168282,JACQUELINE,26MM,LADIES,No status reported,43.0,65.0,124.0,158.0,102.0,41.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3799,139.0,796483168305,JACQUELINE,26MM,LADIES,No status reported,29.0,48.0,98.0,141.0,99.0,41.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3838,149.0,796483181977,ORIGINAL BOYFRIEND,38MM,LADIES,No status reported,40.0,90.0,84.0,67.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3842,119.0,796483182066,JACQUELINE,36MM,LADIES,No status reported,11.0,9.0,41.0,74.0,115.0,18.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3843,119.0,796483181984,JACQUELINE,36MM,LADIES,No status reported,11.0,31.0,115.0,93.0,93.0,56.0,33.0,4.0,13.0,0.0,0.0,2.0,17.0,18.0,4.25
ES3913,125.0,796483211155,TAILOR,34MM,LADIES,No status reported,0.0,24.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3972,95.0,796483230439,JACQUELINE,36MM,LADIES,No status reported,0.0,6.0,66.0,129.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES3988,119.0,796483244603,JACQUELINE,36MM,LADIES,No status reported,0.0,23.0,23.0,55.0,13.0,11.0,23.0,3.0,3.0,3.0,1.0,2.0,10.0,18.0,2.5
ES4000,125.0,796483250086,GEORGIA,26MM,LADIES,No status reported,0.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4007,135.0,796483250062,TAILOR,34MM,LADIES,No status reported,0.0,14.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4079,139.0,796483266735,STELLA,38MM,LADIES,No status reported,0.0,38.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4094,149.0,796483278707,JACQUELINE,36MM,LADIES,No status reported,0.0,3.0,97.0,136.0,143.0,72.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4100,149.0,796483294783,JACQUELINE,36MM,LADIES,No status reported,0.0,5.0,82.0,116.0,104.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4113,149.0,796483292284,ORIGINAL BOYFRIEND,38MM,LADIES,No status reported,0.0,6.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4145,139.0,796483290136,RILEY,38MM,LADIES,No status reported,0.0,12.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4185,115.0,796483313026,NEELY,34MM,LADIES,No status reported,0.0,0.0,27.0,72.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4202SET,155.0,796483307452,JACQUELINE BOX SET,36MM,LADIES,No status reported,0.0,0.0,98.0,68.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4236,135.0,796483327696,CAIDEN,38MM,LADIES,No status reported,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4237,155.0,796483327702,CAIDEN,38MM,LADIES,No status reported,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4243,105.0,796483313644,ATWATER,34MM,LADIES,No status reported,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4245,125.0,796483327641,ATWATER,34MM,LADIES,No status reported,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4250,125.0,796483324428,PERFECT BOYFRIEND,39MM,LADIES,No status reported,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4251,105.0,796483342187,MICAH ,32MM,LADIES,No status reported,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4252,115.0,796483342163,MICAH ,32MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4260,135.0,796483342217,TAILOR ,35MM,LADIES,No status reported,0.0,0.0,27.0,112.0,67.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4264,159.0,796483342255,TAILOR ,35MM,LADIES,No status reported,0.0,0.0,29.0,291.0,163.0,59.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4266,135.0,796483342156,VINTAGE MUSE ,40MM,LADIES,No status reported,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4267,175.0,796483342286,GAZER ,40MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4269,135.0,796483342309,MICAH ,32MM,LADIES,No status reported,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4274,109.0,796483338838,JACQUELINE ,36MM,LADIES,No status reported,0.0,0.0,38.0,100.0,90.0,23.0,27.0,0.0,0.0,24.0,0.0,1.0,24.0,35.0,6.0
ES4278,185.0,796483343870,IDEALIST ,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4301,139.0,796483358065,CARLIE,35MM,LADIES,No status reported,0.0,0.0,0.0,235.0,142.0,84.0,41.0,1.0,0.0,7.0,4.0,8.0,12.0,41.0,3.0
ES4302,135.0,796483358072,CARLIE,35MM,LADIES,No status reported,0.0,0.0,0.0,140.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4303,149.0,796483358003,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,55.0,41.0,1.0,21.0,0.0,7.0,2.0,0.0,0.0,9.0,0.0,2.25
ES4304,135.0,796483358010,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4309,175.0,796483358034,VINTAGE MUSE,40MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4312,155.0,796483353206,NEELY,34MM,LADIES,No status reported,0.0,0.0,55.0,205.0,103.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4317,109.0,796483354241,SCARLETTE MINI,32MM,LADIES,No status reported,0.0,0.0,42.0,337.0,255.0,95.0,90.0,0.0,0.0,5.0,5.0,10.0,10.0,90.0,2.5
ES4318,129.0,796483354258,SCARLETTE MINI,32MM,LADIES,No status reported,0.0,0.0,53.0,312.0,125.0,103.0,75.0,2.0,0.0,4.0,7.0,9.0,13.0,30.0,3.25
ES4319,129.0,796483354265,SCARLETTE MINI,32MM,LADIES,No status reported,0.0,0.0,70.0,283.0,239.0,122.0,127.0,18.0,2.0,13.0,6.0,4.0,39.0,47.0,9.75
ES4322,135.0,796483354234,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,47.0,333.0,226.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4326,135.0,796483357990,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4333,135.0,796483355095,THE COMMUTER 3H,34MM,LADIES,No status reported,0.0,0.0,23.0,209.0,134.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4341,119.0,796483363649,CARLIE,35MM,LADIES,No status reported,0.0,0.0,23.0,426.0,247.0,70.0,76.0,1.0,2.0,1.0,0.0,3.0,4.0,36.0,1.0
ES4343,99.0,796483363663,CARLIE,35MM,LADIES,No status reported,0.0,0.0,7.0,121.0,160.0,17.0,12.0,1.0,8.0,0.0,0.0,0.0,9.0,0.0,2.25
ES4344,105.0,796483363670,CARLIE,35MM,LADIES,No status reported,0.0,0.0,5.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4347,95.0,796483370128,CARLIE,35MM,LADIES,No status reported,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4348,115.0,796483369436,THE COMMUTER 3H,34MM,LADIES,No status reported,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4350,155.0,796483366473,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4351SET,125.0,796483365704,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4352,139.0,796483369450,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,206.0,156.0,70.0,80.0,19.0,8.0,7.0,4.0,0.0,38.0,50.0,9.5
ES4363,135.0,796483369429,SCARLETTE,32MM,LADIES,No status reported,0.0,0.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4364,145.0,796483367982,NEELY,34MM,LADIES,No status reported,0.0,0.0,0.0,85.0,56.0,39.0,70.0,6.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0
ES4366,135.0,796483368002,NEELY,34MM,LADIES,No status reported,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4368,99.0,796483367913,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,78.0,36.0,39.0,46.0,3.0,6.0,0.0,0.0,2.0,9.0,8.0,2.25
ES4369,119.0,796483367920,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,59.0,41.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4370,115.0,796483367937,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,58.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4377,125.0,796483381193,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,51.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4378,125.0,796483381209,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4381,125.0,796483381216,CAMILE,37MM,LADIES,No status reported,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4382,125.0,796483381223,CAMILE,37MM,LADIES,No status reported,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4383SET,135.0,796483381582,NEELY,34MM,LADIES,No status reported,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4386,115.0,796483385795,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4391,145.0,796483385771,ANNETTE,30MM,LADIES,No status reported,0.0,0.0,0.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4393,135.0,757697665530,TAILOR,35MM,LADIES,No status reported,0.0,0.0,0.0,22.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
ES4394,135.0,757697665547,TAILOR,35MM,LADIES,No status reported,0.0,0.0,0.0,26.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4405,145.0,796483391390,NEELY,34MM,LADIES,No status reported,0.0,0.0,0.0,45.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4410,119.0,796483396869,JACQUELINE ,26MM,LADIES,2018H3,0.0,0.0,0.0,18.0,14.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4411,115.0,796483441804,JACQUELINE,26MM,LADIES,2019H2,0.0,0.0,0.0,0.0,9.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4412,115.0,796483396876,JACQUELINE ,27MM,LADIES,No status reported,0.0,0.0,0.0,29.0,27.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4421,125.0,796483392663,TAILOR,36MM,LADIES,No status reported,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4423,135.0,796483392670,TAILOR ,35MM,LADIES,No status reported,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4426,115.0,796483396890,THE ESSENTIALIST ,38MM,LADIES,2018H3,0.0,0.0,0.0,30.0,49.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4428,115.0,796483396982,CARLIE ,35MM,LADIES,No status reported,0.0,0.0,0.0,35.0,20.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4432,109.0,796483396999,CARLIE ,35MM,LADIES,2018H3,0.0,0.0,0.0,50.0,74.0,91.0,142.0,3.0,0.0,9.0,3.0,3.0,15.0,55.0,3.75
ES4433,109.0,796483397002,CARLIE ,28MM,LADIES,No status reported,0.0,0.0,0.0,50.0,25.0,26.0,52.0,17.0,8.0,6.0,4.0,6.0,35.0,24.0,8.75
ES4437,145.0,796483397019,JACQUELINE ,36MM,LADIES,No status reported,0.0,0.0,0.0,135.0,138.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES4443SET,139.0,796483416420,CARLIE,28MM,LADIES,2018H4,0.0,0.0,0.0,0.0,50.0,52.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
